Strike,Entry Time,Entry Price,Exit Time,Exit Price,Percent Change,MTM,Sell Qty,SL hit
BANKNIFTYWK36100CE,2021-12-31 12:15:00,141.95,2022-01-03 12:18:00,288.65,1.0334624867911237,203.3462486791124,50.0,0
BANKNIFTYWK36100CE,2021-12-31 12:15:00,141.95,2022-01-03 14:18:00,441.0,2.1067277210285313,310.6727721028531,50.0,0
BANKNIFTYWK36300CE,2022-01-03 09:15:00,111.95,2022-01-03 12:37:00,229.3,1.0482358195623047,204.82358195623047,50.0,0
BANKNIFTYWK36300CE,2022-01-03 09:15:00,111.95,2022-01-03 14:19:00,349.3,2.1201429209468516,312.0142920946852,50.0,0
BANKNIFTYWK38600CE,2022-01-07 09:15:00,164.8,2022-01-12 09:19:00,333.65,1.0245752427184462,202.45752427184462,50.0,0
BANKNIFTYWK38600CE,2022-01-07 09:15:00,164.8,2022-01-12 13:56:00,246.0,0.49271844660194164,149.27184466019418,50.0,1
BANKNIFTYWK38700CE,2022-01-10 09:15:00,189.5,2022-01-13 09:19:00,91.05,-0.5195250659630607,48.04749340369393,100.0,1
BANKNIFTYWK38900CE,2022-01-11 12:15:00,98.65,2022-01-13 09:16:00,44.75,-0.5463760770400405,45.362392295995946,100.0,1
BANKNIFTYWK39300CE,2022-01-12 09:15:00,67.85,2022-01-12 13:48:00,33.9,-0.5003684598378777,49.96315401621223,100.0,1
BANKNIFTYWK39000CE,2022-01-18 11:15:00,67.65,2022-01-18 13:05:00,148.85,1.2002956393200293,220.02956393200296,50.0,0
BANKNIFTYWK39000CE,2022-01-18 11:15:00,67.65,2022-01-18 13:19:00,210.0,2.104212860310421,310.4212860310421,50.0,0
BANKNIFTYWK37800CE,2022-01-25 11:15:00,123.1,2022-01-25 14:42:00,246.55,1.002843216896832,200.2843216896832,50.0,0
BANKNIFTYWK37800CE,2022-01-25 11:15:00,123.1,2022-01-27 09:15:00,32.2,-0.7384240454914703,26.157595450852966,50.0,1
BANKNIFTYWK38500CE,2022-01-31 11:15:00,446.3,2022-02-02 14:36:00,896.0,1.0076181940398834,200.76181940398837,50.0,0
BANKNIFTYWK38500CE,2022-01-31 11:15:00,446.3,2022-02-03 11:57:00,667.05,0.49462245126596444,149.46224512659646,50.0,1
BANKNIFTYWK39000CE,2022-02-09 09:15:00,53.65,2022-02-10 10:32:00,113.9,1.1230195712954336,212.30195712954333,50.0,0
BANKNIFTYWK39000CE,2022-02-09 09:15:00,53.65,2022-02-10 10:42:00,172.2,2.2096924510717613,320.9692451071761,50.0,0
BANKNIFTYWK38500CE,2022-02-15 13:15:00,35.25,2022-02-15 13:44:00,73.05,1.0723404255319149,207.2340425531915,50.0,0
